[epoch:1, iter:159] |Loss: 2.077 | Acc: 21.346% 
[epoch:1, iter:160] |Loss: 2.076 | Acc: 21.425% 
[epoch:1, iter:161] |Loss: 2.074 | Acc: 21.516% 
[epoch:1, iter:162] |Loss: 2.072 | Acc: 21.605% 
[epoch:1, iter:163] |Loss: 2.071 | Acc: 21.607% 
[epoch:1, iter:164] |Loss: 2.072 | Acc: 21.634% 
[epoch:1, iter:165] |Loss: 2.070 | Acc: 21.648% 
[epoch:1, iter:166] |Loss: 2.069 | Acc: 21.699% 
[epoch:1, iter:167] |Loss: 2.069 | Acc: 21.677% 
[epoch:1, iter:168] |Loss: 2.066 | Acc: 21.738% 
[epoch:1, iter:169] |Loss: 2.064 | Acc: 21.799% 
[epoch:1, iter:170] |Loss: 2.064 | Acc: 21.847% 
[epoch:1, iter:171] |Loss: 2.062 | Acc: 21.895% 
[epoch:1, iter:172] |Loss: 2.062 | Acc: 21.884% 
[epoch:1, iter:173] |Loss: 2.059 | Acc: 21.988% 
[epoch:1, iter:174] |Loss: 2.057 | Acc: 22.046% 
[epoch:1, iter:175] |Loss: 2.056 | Acc: 22.080% 
[epoch:1, iter:176] |Loss: 2.055 | Acc: 22.091% 
[epoch:1, iter:177] |Loss: 2.054 | Acc: 22.124% 
[epoch:1, iter:178] |Loss: 2.054 | Acc: 22.112% 
[epoch:1, iter:179] |Loss: 2.053 | Acc: 22.168% 
[epoch:1, iter:180] |Loss: 2.051 | Acc: 22.222% 
[epoch:1, iter:181] |Loss: 2.050 | Acc: 22.276% 
[epoch:1, iter:182] |Loss: 2.048 | Acc: 22.341% 
[epoch:1, iter:183] |Loss: 2.046 | Acc: 22.383% 
[epoch:1, iter:184] |Loss: 2.043 | Acc: 22.435% 
[epoch:1, iter:185] |Loss: 2.041 | Acc: 22.465% 
[epoch:1, iter:186] |Loss: 2.040 | Acc: 22.473% 
[epoch:1, iter:187] |Loss: 2.040 | Acc: 22.449% 
[epoch:1, iter:188] |Loss: 2.038 | Acc: 22.532% 
[epoch:1, iter:189] |Loss: 2.037 | Acc: 22.540% 
[epoch:1, iter:190] |Loss: 2.036 | Acc: 22.526% 
[epoch:1, iter:191] |Loss: 2.035 | Acc: 22.565% 
[epoch:1, iter:192] |Loss: 2.032 | Acc: 22.604% 
[epoch:1, iter:193] |Loss: 2.031 | Acc: 22.694% 
[epoch:1, iter:194] |Loss: 2.029 | Acc: 22.773% 
[epoch:1, iter:195] |Loss: 2.028 | Acc: 22.779% 
[epoch:1, iter:196] |Loss: 2.027 | Acc: 22.796% 
[epoch:1, iter:197] |Loss: 2.027 | Acc: 22.812% 
[epoch:1, iter:198] |Loss: 2.026 | Acc: 22.828% 
[epoch:1, iter:199] |Loss: 2.025 | Acc: 22.864% 
[epoch:1, iter:200] |Loss: 2.024 | Acc: 22.890% 
[epoch:1, iter:201] |Loss: 2.023 | Acc: 22.905% 
[epoch:1, iter:202] |Loss: 2.023 | Acc: 22.941% 
[epoch:1, iter:203] |Loss: 2.022 | Acc: 22.946% 
